Position, Company, Location, URL
Java Developer, RemoteMore, Anywhere in the World, https://weworkremotely.com/remote-jobs/remotemore-java-developer-5
Fullstack Javascript Typescript Developer, CloudDevs, Latin America Only/Europe Only/Canada Only/EMEA Only/Asia Only, https://weworkremotely.com/remote-jobs/clouddevs-fullstack-javascript-typescript-developer
Java/Kotlin & Web developer , Spider Strategies, USA Only, https://weworkremotely.com/remote-jobs/spider-strategies-java-kotlin-web-developer
